"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload"
tx_1wsmz02cr5n,BANK_STATEMENT,UTRY2T5G4TL,279574,INR,2026-07-14,2026-08-25T22:35:20.628Z,BANK_CREDIT_NET_REFUND: 2795.74 INR,"{""reference"":""UTRY2T5G4TL""}"
tx_pilor32s4s,BANK_STATEMENT,UTR9IKVRY0G,1890561,INR,2026-07-20,2026-08-25T15:47:52.628Z,BANK_CREDIT: 18905.61 INR,"{""sourceAccountNumber"":""acc_6820CALWV4""}"
tx_gibajqizb4r,BANK_STATEMENT,UTRNYRSMONL,1938615,INR,2026-07-27,2026-08-26T10:18:27.628Z,BANK_CREDIT_BUNDLE: 19386.15 INR,"{""reference"":""UTRNYRSMONL""}"
tx_dg26rrw4ye4,BANK_STATEMENT,UTRTYYPB97Q,3849484,INR,2026-08-02,2026-08-26T11:27:54.628Z,BANK_CREDIT: 38494.84 INR,"{""reference"":""UTRTYYPB97Q""}"
tx_sf8glyz2mts,BANK_STATEMENT,UTRGB91IVAF,2391550,INR,2026-08-08,2026-08-26T17:58:45.628Z,BANK_CREDIT: 23915.5 INR,"{""reference"":""UTRGB91IVAF""}"
tx_b372a1d63b,BANK_STATEMENT,UTR404ZZ467,4187103,INR,2026-07-30,2026-08-25T23:37:55.628Z,BANK_CREDIT: 41871.03 INR,"{""reference"":""UTR404ZZ467""}"
tx_3dhes991eyr,BANK_STATEMENT,UTR041RGOMY,967653,INR,2026-07-12,2026-08-26T12:54:13.628Z,BANK_CREDIT_NET_REFUND: 9676.53 INR,"{""reference"":""UTR041RGOMY""}"
tx_m5i9nlkyw9g,BANK_STATEMENT,UTR1APJYDV2,1769625,INR,2026-08-22,2026-08-26T04:40:34.628Z,BANK_CREDIT: 17696.25 INR,"{""reference"":""UTR1APJYDV2""}"
tx_wbv09y5y04,BANK_STATEMENT,UTRHYKSHBMU,1785149,INR,2026-07-18,2026-08-26T02:53:41.628Z,BANK_CREDIT_NET_REFUND: 17851.49 INR,"{""reference"":""UTRHYKSHBMU""}"
tx_756vrpnkxq,BANK_STATEMENT,UTRQ5O88M4U,1223804,INR,2026-08-26,2026-08-26T11:15:55.628Z,BANK_CREDIT_BUNDLE: 12238.04 INR,"{""reference"":""UTRQ5O88M4U""}"
