"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload"
tx_gmqfawinca8,GATEWAY_SETTLEMENT,pay_Y2T5G4TL,385725,INR,2026-07-11,2026-08-25T20:09:25.628Z,GATEWAY_SALE: 3857.25 INR,"{""reference"":""pay_Y2T5G4TL""}"
tx_7wwotmfdhix,GATEWAY_SETTLEMENT,pay_Y2T5G4TL-REF,-96431,INR,2026-07-11,2026-08-26T16:46:14.628Z,GATEWAY_REFUND: -964.31 INR,"{""reference"":""pay_Y2T5G4TL-REF""}"
tx_xrtem3k481,GATEWAY_SETTLEMENT,pay_NYRSMONL_1,501504,INR,2026-07-24,2026-08-26T08:07:12.628Z,GATEWAY_SPLIT_SETTLEMENT: 5015.04 INR,"{""reference"":""pay_NYRSMONL_1""}"
tx_sgi002pqv3a,GATEWAY_SETTLEMENT,pay_NYRSMONL_2,501504,INR,2026-07-24,2026-08-25T18:59:19.628Z,GATEWAY_SPLIT_SETTLEMENT: 5015.04 INR,"{""reference"":""pay_NYRSMONL_2""}"
tx_o6auvowkny,GATEWAY_SETTLEMENT,pay_NYRSMONL_3,501504,INR,2026-07-24,2026-08-25T20:31:51.628Z,GATEWAY_SPLIT_SETTLEMENT: 5015.04 INR,"{""reference"":""pay_NYRSMONL_3""}"
tx_2r2d9mxrnz2,GATEWAY_SETTLEMENT,pay_NYRSMONL_4,501505,INR,2026-07-24,2026-08-26T13:21:31.628Z,GATEWAY_SPLIT_SETTLEMENT: 5015.05 INR,"{""reference"":""pay_NYRSMONL_4""}"
tx_ncwfxsqgqho,GATEWAY_SETTLEMENT,pay_TYYPB97Q,3982806,INR,2026-08-01,2026-08-26T17:11:18.628Z,GATEWAY_SETTLEMENT: 39828.06 INR,"{""reference"":""pay_TYYPB97Q""}"
tx_m0piycxhbor,GATEWAY_SETTLEMENT,pay_GB91IVAF,2391550,INR,2026-08-07,2026-08-26T14:29:28.628Z,GATEWAY_SETTLEMENT: 23915.5 INR,"{""reference"":""pay_GB91IVAF""}"
tx_trshzkwc7u,GATEWAY_SETTLEMENT,pay_404ZZ467,4187103,INR,2026-07-28,2026-08-26T10:45:19.628Z,GATEWAY_SETTLEMENT: 41871.03 INR,"{""reference"":""pay_404ZZ467""}"
tx_qluvoyu0znd,GATEWAY_SETTLEMENT,pay_041RGOMY,1335063,INR,2026-07-09,2026-08-26T14:36:33.628Z,GATEWAY_SALE: 13350.63 INR,"{""reference"":""pay_041RGOMY""}"
