"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload"
tx_yw602bftn6s,MERCHANT_LEDGER,ORD-ZT4YOOO4,3305949,INR,2026-08-17,2026-08-23T01:09:38.993Z,MERCHANT_INVOICE: 33059.49 INR,"{""reference"":""ORD-ZT4YOOO4""}"
tx_rh092utnimc,MERCHANT_LEDGER,ORD-7BGYCZAI,2088578,INR,2026-07-12,2026-08-22T19:16:00.993Z,MERCHANT_INVOICE: 20885.78 INR,"{""reference"":""ORD-7BGYCZAI""}"
tx_sllwpk1z52s,MERCHANT_LEDGER,ORD-KAGBNX8U,2096067,INR,2026-07-15,2026-08-22T19:52:19.993Z,MERCHANT_INVOICE: 20960.67 INR,"{""reference"":""ORD-KAGBNX8U""}"
tx_cc5dkf9afn,MERCHANT_LEDGER,ORD-KI5C5SXO-1,122694,INR,2026-07-20,2026-08-22T19:26:58.993Z,MERCHANT_LEDGER_SPLIT: 1226.94 INR,"{""reference"":""ORD-KI5C5SXO-1""}"
tx_rh6904o7ry,MERCHANT_LEDGER,ORD-KI5C5SXO-2,122694,INR,2026-07-20,2026-08-23T14:05:52.993Z,MERCHANT_LEDGER_SPLIT: 1226.94 INR,"{""reference"":""ORD-KI5C5SXO-2""}"
tx_1bv6bga3xpm,MERCHANT_LEDGER,ORD-KI5C5SXO-3,122694,INR,2026-07-20,2026-08-23T00:27:00.993Z,MERCHANT_LEDGER_SPLIT: 1226.94 INR,"{""reference"":""ORD-KI5C5SXO-3""}"
tx_ja2bo7lfvd,MERCHANT_LEDGER,ORD-MO611ZN7,3847737,INR,2026-08-12,2026-08-23T07:28:34.993Z,MERCHANT_INVOICE: 38477.37 INR,"{""reference"":""ORD-MO611ZN7""}"
tx_lxb9i6nz48h,MERCHANT_LEDGER,ORD-HEHKPJ3F,2234315,INR,2026-08-10,2026-08-23T14:21:17.993Z,MERCHANT_INVOICE: 22343.15 INR,"{""reference"":""ORD-HEHKPJ3F""}"
tx_l6o3soovlq8,MERCHANT_LEDGER,ORD-CT8UKVOB-1,2128247,INR,2026-08-15,2026-08-22T18:50:31.993Z,MERCHANT_LEDGER_SPLIT: 21282.47 INR,"{""reference"":""ORD-CT8UKVOB-1""}"
tx_q48e9kk9cmp,MERCHANT_LEDGER,ORD-CT8UKVOB-2,2128246,INR,2026-08-15,2026-08-23T01:35:05.993Z,MERCHANT_LEDGER_SPLIT: 21282.46 INR,"{""reference"":""ORD-CT8UKVOB-2""}"
tx_0m6h9l9kfot,MERCHANT_LEDGER,ORD-8CE2F7G1-1,419226,INR,2026-08-13,2026-08-23T10:58:24.993Z,MERCHANT_LEDGER_SPLIT: 4192.26 INR,"{""reference"":""ORD-8CE2F7G1-1""}"
tx_6s06dprqha,MERCHANT_LEDGER,ORD-8CE2F7G1-2,419226,INR,2026-08-13,2026-08-23T08:26:27.993Z,MERCHANT_LEDGER_SPLIT: 4192.26 INR,"{""reference"":""ORD-8CE2F7G1-2""}"
tx_zgseib7am29,MERCHANT_LEDGER,ORD-8CE2F7G1-3,419226,INR,2026-08-13,2026-08-23T15:11:10.993Z,MERCHANT_LEDGER_SPLIT: 4192.26 INR,"{""reference"":""ORD-8CE2F7G1-3""}"
tx_gpze614rllq,MERCHANT_LEDGER,ORD-8CE2F7G1-4,419226,INR,2026-08-13,2026-08-22T20:15:04.993Z,MERCHANT_LEDGER_SPLIT: 4192.26 INR,"{""reference"":""ORD-8CE2F7G1-4""}"
tx_zpwvsaudnp,MERCHANT_LEDGER,ORD-8CE2F7G1-5,419228,INR,2026-08-13,2026-08-23T17:53:35.993Z,MERCHANT_LEDGER_SPLIT: 4192.28 INR,"{""reference"":""ORD-8CE2F7G1-5""}"
tx_ktnmbgttgrh,MERCHANT_LEDGER,ORD-76R1YU2H,2508816,INR,2026-08-07,2026-08-23T03:54:57.993Z,MERCHANT_INVOICE: 25088.16 INR,"{""reference"":""ORD-76R1YU2H""}"
tx_9imy91v4j9,MERCHANT_LEDGER,ORD-0Q75DLW2,1067412,INR,2026-08-07,2026-08-23T07:00:01.993Z,MERCHANT_INVOICE: 10674.12 INR,"{""reference"":""ORD-0Q75DLW2""}"
tx_1pg7jnyfqhr,MERCHANT_LEDGER,ORD-VRL3GHR0,314699,INR,2026-08-16,2026-08-22T20:39:45.993Z,MERCHANT_INVOICE: 3146.99 INR,"{""reference"":""ORD-VRL3GHR0""}"
tx_eomwr6ccf5v,MERCHANT_LEDGER,ORD-N28Q498W,1096475,INR,2026-07-28,2026-08-22T22:39:34.993Z,MERCHANT_INVOICE: 10964.75 INR,"{""reference"":""ORD-N28Q498W""}"
tx_ssxjzvoxpeq,MERCHANT_LEDGER,ORD-HCCD77KJ,1269229,INR,2026-07-09,2026-08-22T23:49:06.993Z,MERCHANT_INVOICE: 12692.29 INR,"{""reference"":""ORD-HCCD77KJ""}"
tx_9t2yx2etsn7,MERCHANT_LEDGER,ORD-A2GZX8U6-1,790949,INR,2026-07-18,2026-08-23T06:41:40.993Z,MERCHANT_LEDGER_SPLIT: 7909.49 INR,"{""reference"":""ORD-A2GZX8U6-1""}"
tx_eoebs2yhgu,MERCHANT_LEDGER,ORD-A2GZX8U6-2,790949,INR,2026-07-18,2026-08-23T16:56:09.993Z,MERCHANT_LEDGER_SPLIT: 7909.49 INR,"{""reference"":""ORD-A2GZX8U6-2""}"
