[2026-08-27T06:59:27.258Z] Model: embedding-001, Latency: 134.8092734154106ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:28.241Z] Model: embedding-001, Latency: 128.3110147653031ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:28.801Z] Model: embedding-001, Latency: 69.2809546705448ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:29.294Z] Model: embedding-001, Latency: 131.32584463295825ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:29.702Z] Model: embedding-001, Latency: 141.8939064315141ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:30.085Z] Model: embedding-001, Latency: 79.9519191668507ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:30.478Z] Model: embedding-001, Latency: 148.4118096104577ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:30.877Z] Model: embedding-001, Latency: 77.06713057905175ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:31.258Z] Model: embedding-001, Latency: 106.92056349715332ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:31.623Z] Model: embedding-001, Latency: 97.96963594283199ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:31.977Z] Model: embedding-001, Latency: 129.79459057382724ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:32.359Z] Model: embedding-001, Latency: 75.90235576309219ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:32.712Z] Model: embedding-001, Latency: 93.97901333305775ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:33.086Z] Model: embedding-001, Latency: 121.27210248830535ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:33.413Z] Model: embedding-001, Latency: 81.61696433635754ms, Tokens: 1, Cost: ₹0.0000
[2026-08-27T06:59:33.764Z] Model: embedding-001, Latency: 125.95689601875448ms, Tokens: 1, Cost: ₹0.0000
