"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload","matchGroupId"
tx_6l1dis3ib2,BANK_STATEMENT,UTRIT4NJJU2,694602,INR,2026-07-30,2026-08-22T19:56:21.040Z,BANK_CREDIT_SETTLEMENT: 6946.02 INR,"{""sourceAccountNumber"":""acc_LBOF5PWGZ6S"",""reference"":""UTRIT4NJJU2""}",tx_nlys2whvcm
tx_hlo1xubsv7c,BANK_STATEMENT,UTRI6D4K3ET,1658624,INR,2026-07-25,2026-08-23T04:05:44.040Z,BANK_CREDIT_SETTLEMENT: 16586.24 INR,"{""sourceAccountNumber"":""acc_YAC02XS3MJ"",""reference"":""UTRI6D4K3ET""}",tx_5smd7pmgpzb
tx_jdrcgluhguj,BANK_STATEMENT,UTRBOD8I13K,1197385,INR,2026-08-07,2026-08-22T23:49:31.040Z,BANK_CREDIT_SETTLEMENT: 11973.85 INR,"{""sourceAccountNumber"":""acc_NJ1EF8D9Z29"",""reference"":""UTRBOD8I13K""}",tx_8ze412okxji
tx_navurb2hjnk,BANK_STATEMENT,UTRYWULF3OI,2600772,INR,2026-08-08,2026-08-22T11:53:29.040Z,BANK_CREDIT: 26007.72 INR - E_COMMERCE_ONE_TIME_SALE,"{""sourceAccountNumber"":""acc_ZTZVXCSWFI""}",
tx_fqb0seopc05,BANK_STATEMENT,UTREJDBCWTC,3032767,INR,2026-07-13,2026-08-23T09:18:13.040Z,BANK_CREDIT_SETTLEMENT: 30327.67 INR,"{""sourceAccountNumber"":""acc_FXRCNICHXGU"",""reference"":""UTREJDBCWTC""}",tx_y9cr73g91a
tx_k8nwnw8so3q,BANK_STATEMENT,UTR4E1A09TU,3207321,INR,2026-08-15,2026-08-23T02:09:49.040Z,BANK_CREDIT_SETTLEMENT: 32073.21 INR,"{""sourceAccountNumber"":""acc_LGM6NYHDPV"",""reference"":""UTR4E1A09TU""}",tx_1bserzhrj3h
tx_jhupfmb4qle,BANK_STATEMENT,UTRCQ3OT9NJ,228516,INR,2026-08-05,2026-08-23T15:07:46.041Z,BANK_CREDIT_SETTLEMENT: 2285.16 INR,"{""sourceAccountNumber"":""acc_562HZ2CRZFH"",""reference"":""UTRCQ3OT9NJ""}",tx_47n3k52yjvs
tx_2599evip4fc,BANK_STATEMENT,UTRDIRSCF17,2938470,INR,2026-08-17,2026-08-23T09:11:16.041Z,BANK_CREDIT_SETTLEMENT: 29384.7 INR,"{""sourceAccountNumber"":""acc_QREPJKDC50G"",""reference"":""UTRDIRSCF17""}",tx_b22zmkkhsxu
tx_zbxwtxp7c0i,BANK_STATEMENT,UTREAL15XCS,3504857,INR,2026-08-08,2026-08-23T00:37:41.041Z,BANK_CREDIT_SETTLEMENT: 35048.57 INR,"{""sourceAccountNumber"":""acc_SZLH9M1U6Y"",""reference"":""UTREAL15XCS""}",tx_pcm5qrrm9hh
tx_dbe5y47rfd9,BANK_STATEMENT,UTRCJ47CG51,639939,INR,2026-08-08,2026-08-23T09:29:11.041Z,BANK_CREDIT_SETTLEMENT: 6399.39 INR,"{""sourceAccountNumber"":""acc_EBAJXYVQIDJ"",""reference"":""UTRCJ47CG51""}",tx_658gsi1yg57
tx_8dniavqqi5f,BANK_STATEMENT,UTR9WEKD3ZT,2311205,INR,2026-07-22,2026-08-23T05:01:16.041Z,BANK_CREDIT_SETTLEMENT: 23112.05 INR,"{""sourceAccountNumber"":""acc_9SRTMQI8HAH"",""reference"":""UTR9WEKD3ZT""}",tx_psqnlwya08
tx_dd1xwy67vph,BANK_STATEMENT,UTRO01YET1M,3281093,INR,2026-08-01,2026-08-23T04:41:09.043Z,BANK_CREDIT_SETTLEMENT: 32810.93 INR,"{""sourceAccountNumber"":""acc_1MJRALX7IBG"",""reference"":""UTRO01YET1M""}",tx_0cmmvmdh9qsc
tx_cqjit6ud67f,BANK_STATEMENT,UTR3G6ATQQM,121962,INR,2026-07-18,2026-08-23T09:31:49.044Z,BANK_CREDIT_SETTLEMENT: 1219.62 INR,"{""sourceAccountNumber"":""acc_G5HIXEQNTSA"",""reference"":""UTR3G6ATQQM""}",tx_6gu887gg5d3
tx_dm2vgy79ppe,BANK_STATEMENT,UTRE6FSBLZM,2203191,INR,2026-07-11,2026-08-22T18:52:03.044Z,BANK_CREDIT_SETTLEMENT: 22031.91 INR,"{""sourceAccountNumber"":""acc_I1HLDDMITD"",""reference"":""UTRE6FSBLZM""}",tx_569n2vm4sjh
tx_3ywc9wmsmxe,BANK_STATEMENT,UTRQKWMLGXT,2465966,INR,2026-08-20,2026-08-22T20:49:44.044Z,BANK_CREDIT_SETTLEMENT: 24659.66 INR,"{""sourceAccountNumber"":""acc_9QBOH5Z18MD"",""reference"":""UTRQKWMLGXT""}",tx_pjvglworuh
tx_t67r72f6ndi,BANK_STATEMENT,UTRIRXPTSQG,899791,INR,2026-07-19,2026-08-23T01:22:09.044Z,BANK_CREDIT_SETTLEMENT: 8997.91 INR,"{""sourceAccountNumber"":""acc_HJ6X08TELMB"",""reference"":""UTRIRXPTSQG""}",tx_daedi9xmoc
tx_g82gf3rl4f5,BANK_STATEMENT,UTRY9MQ6LT7,3755582,INR,2026-08-19,2026-08-23T01:29:07.044Z,BANK_CREDIT_SETTLEMENT: 37555.82 INR,"{""sourceAccountNumber"":""acc_Q2RLIIUABX"",""reference"":""UTRY9MQ6LT7""}",tx_pnur88xh558
tx_vjnkbtwhk88,BANK_STATEMENT,UTRR40EQK8T,4270867,INR,2026-07-14,2026-08-23T09:53:54.044Z,BANK_CREDIT_SETTLEMENT: 42708.67 INR,"{""sourceAccountNumber"":""acc_SKHUAIHLP1"",""reference"":""UTRR40EQK8T""}",tx_7s6xvpm078g
tx_cuyo7knzfcg,BANK_STATEMENT,UTRKGQJZCSW,3787450,INR,2026-08-13,2026-08-22T20:47:59.044Z,BANK_CREDIT_SETTLEMENT: 37874.5 INR,"{""sourceAccountNumber"":""acc_T0UGWX6HS7"",""reference"":""UTRKGQJZCSW""}",tx_kyneek2gl7r
tx_bp265i9suy5,BANK_STATEMENT,UTRMRFZMHT3,1509888,INR,2026-08-04,2026-08-23T10:38:54.044Z,BANK_CREDIT_SETTLEMENT: 15098.88 INR,"{""sourceAccountNumber"":""acc_1MOT141VP09"",""reference"":""UTRMRFZMHT3""}",tx_gn0xw97o6b4
tx_czlk3m9ur1,BANK_STATEMENT,UTRB8JJ0LZM,3669224,INR,2026-07-22,2026-08-22T21:33:47.044Z,BANK_CREDIT_SETTLEMENT: 36692.24 INR,"{""sourceAccountNumber"":""acc_1WSH9MD6K3R"",""reference"":""UTRB8JJ0LZM""}",tx_13at1k6z4dsf
tx_4pz1zcelsz,BANK_STATEMENT,UTRFWM7Q11S,3113544,INR,2026-07-20,2026-08-23T06:12:04.044Z,BANK_CREDIT_SETTLEMENT: 31135.44 INR,"{""sourceAccountNumber"":""acc_74TCXJVTWVK"",""reference"":""UTRFWM7Q11S""}",tx_il65yofu12
tx_4qv57ge7xgb,BANK_STATEMENT,UTRMT3R15IF,222404,INR,2026-07-23,2026-08-22T23:03:50.044Z,BANK_CREDIT_SETTLEMENT: 2224.04 INR,"{""sourceAccountNumber"":""acc_8TNYYXIXQGD"",""reference"":""UTRMT3R15IF""}",tx_wv8j7jb1fjg
