"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload","matchGroupId"
tx_v2e6mttfmvp,GATEWAY_SETTLEMENT,pay_IT4NJJU2,718752,INR,2026-07-29,2026-08-23T11:12:26.040Z,PAYPAL SETTLEMENT: 7187.52 INR,"{""gatewayProvider"":""BRAINTREE"",""reference"":""pay_IT4NJJU2""}",tx_nlys2whvcm
tx_103g8ccwarj,GATEWAY_SETTLEMENT,pay_I6D4K3ET,1716291,INR,2026-07-24,2026-08-22T23:38:33.040Z,BRAINTREE SETTLEMENT: 17162.91 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_I6D4K3ET""}",tx_5smd7pmgpzb
tx_p2rb9ripeu,GATEWAY_SETTLEMENT,pay_BOD8I13K,1562350,INR,2026-08-04,2026-08-23T03:33:40.040Z,SQUARE SETTLEMENT: 15623.5 INR,"{""gatewayProvider"":""SQUARE"",""reference"":""pay_BOD8I13K""}",tx_8ze412okxji
tx_il8283wylce,GATEWAY_SETTLEMENT,pay_EJDBCWTC,3138211,INR,2026-07-10,2026-08-22T23:20:52.040Z,STRIPE SETTLEMENT: 31382.11 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_EJDBCWTC""}",tx_y9cr73g91a
tx_wc8t8pmzsz,GATEWAY_SETTLEMENT,pay_4E1A09TU,4184917,INR,2026-08-12,2026-08-23T09:58:07.041Z,RAZORPAY SETTLEMENT: 41849.17 INR,"{""gatewayProvider"":""SQUARE"",""reference"":""pay_4E1A09TU""}",tx_1bserzhrj3h
tx_xdtmijxd12,GATEWAY_SETTLEMENT,pay_CQ3OT9NJ,298167,INR,2026-08-03,2026-08-23T06:51:35.041Z,PAYPAL SETTLEMENT: 2981.67 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_CQ3OT9NJ""}",tx_47n3k52yjvs
tx_xvy26jhro6,GATEWAY_SETTLEMENT,pay_DIRSCF17,3040635,INR,2026-08-16,2026-08-23T16:09:50.041Z,BRAINTREE SETTLEMENT: 30406.35 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_DIRSCF17""}",tx_b22zmkkhsxu
tx_h4wxprpdfup,GATEWAY_SETTLEMENT,pay_EAL15XCS,3626715,INR,2026-08-06,2026-08-23T07:08:38.041Z,STRIPE SETTLEMENT: 36267.15 INR,"{""gatewayProvider"":""PAYPAL"",""reference"":""pay_EAL15XCS""}",tx_pcm5qrrm9hh
tx_5yt46dos2ln,GATEWAY_SETTLEMENT,pay_CJ47CG51,662189,INR,2026-08-06,2026-08-23T09:19:45.041Z,BRAINTREE SETTLEMENT: 6621.89 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_CJ47CG51""}",tx_658gsi1yg57
tx_akinwb4potm,GATEWAY_SETTLEMENT,pay_9WEKD3ZT,2391561,INR,2026-07-14,2026-08-22T23:32:24.041Z,STRIPE SETTLEMENT: 23915.61 INR,"{""gatewayProvider"":""RAZORPAY"",""reference"":""pay_9WEKD3ZT""}",tx_psqnlwya08
tx_it9yj2s62nq,GATEWAY_SETTLEMENT,pay_O01YE1TM,3395171,INR,2026-07-30,2026-08-23T11:36:53.043Z,BRAINTREE SETTLEMENT: 33951.71 INR,"{""gatewayProvider"":""STRIPE"",""reference"":""pay_O01YE1TM""}",tx_0cmmvmdh9qsc
tx_pxaa5zh06g,GATEWAY_SETTLEMENT,pay_3G6ATQQM,126202,INR,2026-07-16,2026-08-23T11:30:32.044Z,SQUARE SETTLEMENT: 1262.02 INR,"{""gatewayProvider"":""PAYPAL"",""reference"":""pay_3G6ATQQM""}",tx_6gu887gg5d3
tx_yp4aphb8fal,GATEWAY_SETTLEMENT,pay_e6fsblzm,2279792,INR,2026-07-10,2026-08-23T10:39:10.044Z,BRAINTREE SETTLEMENT: 22797.92 INR,"{""gatewayProvider"":""SQUARE"",""reference"":""pay_e6fsblzm""}",tx_569n2vm4sjh
tx_g8igdte1tj7,GATEWAY_SETTLEMENT,pay_I7W0ZJRW,2786860,INR,2026-08-06,2026-08-22T00:53:57.044Z,PAYPAL PAYMENT: 27868.6 INR,"{""gatewayProvider"":""SQUARE""}",
tx_eoiie3y2ymb,GATEWAY_SETTLEMENT,pay_QKWMLGXT,2551703,INR,2026-08-19,2026-08-23T02:11:31.044Z,SQUARE SETTLEMENT: 25517.03 INR,"{""gatewayProvider"":""PAYPAL"",""reference"":""pay_QKWMLGXT""}",tx_pjvglworuh
tx_uasdadol1fj,GATEWAY_SETTLEMENT,pay_IRXPTSQG,1174049,INR,2026-07-17,2026-08-23T01:24:49.044Z,SQUARE SETTLEMENT: 11740.49 INR,"{""gatewayProvider"":""PAYPAL"",""reference"":""pay_IRXPTSQG""}",tx_daedi9xmoc
tx_rl7um9cklm,GATEWAY_SETTLEMENT,pay_Y9MQ6LT7,3886674,INR,2026-08-16,2026-08-23T11:08:21.044Z,BRAINTREE SETTLEMENT: 38866.74 INR,"{""gatewayProvider"":""BRAINTREE"",""reference"":""pay_Y9MQ6LT7""}",tx_pnur88xh558
tx_tjswlhhhb9h,GATEWAY_SETTLEMENT,pay_R40EQK8T,4419357,INR,2026-07-12,2026-08-23T15:14:38.044Z,RAZORPAY SETTLEMENT: 44193.57 INR,"{""gatewayProvider"":""SQUARE"",""reference"":""pay_R40EQK8T""}",tx_7s6xvpm078g
tx_tvi42mitzyl,GATEWAY_SETTLEMENT, pay_KGQJZCSW ,3919133,INR,2026-08-10,2026-08-23T04:48:26.044Z,PAYPAL SETTLEMENT: 39191.33 INR,"{""gatewayProvider"":""SQUARE"",""reference"":"" pay_KGQJZCSW ""}",tx_kyneek2gl7r
tx_enxyyedykb,GATEWAY_SETTLEMENT,pay_MRFZMHT3,1562384,INR,2026-08-01,2026-08-23T09:49:52.044Z,STRIPE SETTLEMENT: 15623.84 INR,"{""gatewayProvider"":""SQUARE"",""reference"":""pay_MRFZMHT3""}",tx_gn0xw97o6b4
tx_ymgeot5bra,GATEWAY_SETTLEMENT,pay_9M6ADD5K,146282,INR,2026-08-04,2026-08-22T12:36:56.044Z,RAZORPAY PAYMENT: 1462.82 INR,"{""gatewayProvider"":""SQUARE""}",
tx_use5kw1d1vk,GATEWAY_SETTLEMENT,pay_UPGNHOBZ,3639417,INR,2026-07-20,2026-08-21T22:46:34.044Z,PAYPAL PAYMENT: 36394.17 INR,"{""gatewayProvider"":""RAZORPAY""}",
