"transactionRecordId","dataSource","externalReference","amountPaise","currencyCode","transactionDate","ingestedAt","rawDescription","rawPayload","matchGroupId"
tx_pqfrip41hsl,MERCHANT_LEDGER,ORD-IT4NJJU2,718752,INR,2026-07-29,2026-08-23T06:12:58.040Z,MERCHANT_LEDGER_INVOICE: 7187.52 INR,"{""customerIdentifier"":""cust_0TMFODPEE9"",""reference"":""ORD-IT4NJJU2""}",tx_nlys2whvcm
tx_39w02rzeeze,MERCHANT_LEDGER,ORD-I6D4K3ET,1716291,INR,2026-07-24,2026-08-23T04:37:02.040Z,MERCHANT_LEDGER_INVOICE: 17162.91 INR,"{""customerIdentifier"":""cust_XHIB425PQX"",""reference"":""ORD-I6D4K3ET""}",tx_5smd7pmgpzb
tx_s2kqm37j2d,MERCHANT_LEDGER,ORD-BOD8I13K,1562350,INR,2026-08-04,2026-08-23T09:32:11.040Z,MERCHANT_LEDGER_INVOICE: 15623.5 INR,"{""customerIdentifier"":""cust_8QGRD1C459"",""reference"":""ORD-BOD8I13K""}",tx_8ze412okxji
tx_370xncjv7jb,MERCHANT_LEDGER,ORD-EJDBCWTC,3138211,INR,2026-07-10,2026-08-22T18:38:20.040Z,MERCHANT_LEDGER_INVOICE: 31382.11 INR,"{""customerIdentifier"":""cust_Y72I36B79Q"",""reference"":""ORD-EJDBCWTC""}",tx_y9cr73g91a
tx_49t34nktzd1,MERCHANT_LEDGER,ORD-4E1A09TU,4184917,INR,2026-08-12,2026-08-23T13:22:08.041Z,MERCHANT_LEDGER_INVOICE: 41849.17 INR,"{""customerIdentifier"":""cust_YSN6F92C9D"",""reference"":""ORD-4E1A09TU""}",tx_1bserzhrj3h
tx_uiwofh51z4,MERCHANT_LEDGER,ORD-CQ3OT9NJ,298167,INR,2026-08-03,2026-08-22T20:17:52.041Z,MERCHANT_LEDGER_INVOICE: 2981.67 INR,"{""customerIdentifier"":""cust_5E454BNBWX"",""reference"":""ORD-CQ3OT9NJ""}",tx_47n3k52yjvs
tx_bt5mc92jl36,MERCHANT_LEDGER,ORD-DIRSCF17,3040635,INR,2026-08-16,2026-08-23T11:21:53.041Z,MERCHANT_LEDGER_INVOICE: 30406.35 INR,"{""customerIdentifier"":""cust_4KXVPBQQKN"",""reference"":""ORD-DIRSCF17""}",tx_b22zmkkhsxu
tx_gdllrshj844,MERCHANT_LEDGER,ORD-EAL15XCS,3626715,INR,2026-08-06,2026-08-23T18:12:09.041Z,MERCHANT_LEDGER_INVOICE: 36267.15 INR,"{""customerIdentifier"":""cust_6GGPJ4KJPU"",""reference"":""ORD-EAL15XCS""}",tx_pcm5qrrm9hh
tx_tgpvffzsr9s,MERCHANT_LEDGER,ORD-CJ47CG51,662189,INR,2026-08-06,2026-08-23T14:34:52.041Z,MERCHANT_LEDGER_INVOICE: 6621.89 INR,"{""customerIdentifier"":""cust_758KKA824N"",""reference"":""ORD-CJ47CG51""}",tx_658gsi1yg57
tx_br7hb50rfuu,MERCHANT_LEDGER,ORD-9WEKD3ZT,2391561,INR,2026-07-14,2026-08-23T05:24:13.041Z,MERCHANT_LEDGER_INVOICE: 23915.61 INR,"{""customerIdentifier"":""cust_YCK3YPURIF"",""reference"":""ORD-9WEKD3ZT""}",tx_psqnlwya08
tx_djdgzhob8ak,MERCHANT_LEDGER,ORD-O01YET1M,3395171,INR,2026-07-30,2026-08-23T01:15:43.044Z,MERCHANT_LEDGER_INVOICE: 33951.71 INR,"{""customerIdentifier"":""cust_WR50WH5YIY"",""reference"":""ORD-O01YET1M""}",tx_0cmmvmdh9qsc
tx_4tr5vjzcx0p,MERCHANT_LEDGER,ORD-3G6ATQQM,126202,INR,2026-07-16,2026-08-23T06:10:23.044Z,MERCHANT_LEDGER_INVOICE: 1262.02 INR,"{""customerIdentifier"":""cust_E39QUZ80H9"",""reference"":""ORD-3G6ATQQM""}",tx_6gu887gg5d3
tx_odg1l0aujzp,MERCHANT_LEDGER,ORD-E6FSBLZM,2279792,INR,2026-07-10,2026-08-23T12:09:28.044Z,MERCHANT_LEDGER_INVOICE: 22797.92 INR,"{""customerIdentifier"":""cust_74G08RWW23"",""reference"":""ORD-E6FSBLZM""}",tx_569n2vm4sjh
